pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X_left,Y_left,geometry,index_right,shnat_seker,kvish,keta,maslul,hodesh,yom,yom_bashavua,shaa,kamut_kle_rehev,X_right,Y_right
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79631,2021,75,40,1,4,12,2,23,293,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79633,2021,75,40,2,4,5,2,1,69,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79634,2021,75,40,2,4,5,2,2,47,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79635,2021,75,40,2,4,5,2,3,71,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79636,2021,75,40,2,4,5,2,4,182,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79637,2021,75,40,2,4,5,2,5,717,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79638,2021,75,40,2,4,5,2,6,1153,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79639,2021,75,40,2,4,5,2,7,1469,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79523,2021,75,40,1,4,8,5,11,1001,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79524,2021,75,40,1,4,8,5,12,1039,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79525,2021,75,40,1,4,8,5,13,1141,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79526,2021,75,40,1,4,8,5,14,1033,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79527,2021,75,40,1,4,8,5,15,1147,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79528,2021,75,40,1,4,8,5,16,1067,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79529,2021,75,40,1,4,8,5,17,991,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79530,2021,75,40,1,4,8,5,18,930,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79531,2021,75,40,1,4,8,5,19,778,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79532,2021,75,40,1,4,8,5,20,647,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79533,2021,75,40,1,4,8,5,21,527,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79534,2021,75,40,1,4,8,5,22,435,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79535,2021,75,40,1,4,8,5,23,302,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79536,2021,75,40,1,4,9,6,0,206,217252.0,734394.0
2021020270,1,1,3,0,,,,,75.0,7622.0,301.0,1335.0,14,2021,8,22,4,5,6,3,2,0,3,5,1,5,3,10,1,1,2,1,9,0,0,9,2,23,235,99.0,99,1,217252.0,734394.0,POINT (217252 734394),79537,2021,75,40,1,4,9,6,1,143,217252.0,734394.0
